"id","name","state","country","coord"
1734798,"Semenyih","","MY","{\"lon\":101.843002,\"lat\":2.9516}"
1734802,"Beranang","","MY","{\"lon\":101.869698,\"lat\":2.8733}"
1734810,"Seremban","","MY","{\"lon\":101.938103,\"lat\":2.7297}"
1734815,"Port Dickson","","MY","{\"lon\":101.795898,\"lat\":2.5228}"
1734839,"Bahau","","MY","{\"lon\":102.4049,\"lat\":2.8079}"
1734841,"Kuala Pilah","","MY","{\"lon\":102.248703,\"lat\":2.7389}"
1734879,"Buloh Kasap","","MY","{\"lon\":102.764,\"lat\":2.5536}"
1734949,"Kampung Tekek","","MY","{\"lon\":104.159203,\"lat\":2.8147}"
1734971,"Pekan","","MY","{\"lon\":103.399597,\"lat\":3.4836}"
1735018,"Mentekab","","MY","{\"lon\":102.348396,\"lat\":3.4854}"
1735022,"Temerluh","","MY","{\"lon\":102.417603,\"lat\":3.4506}"
1735071,"Permatang Damar Laut","","MY","{\"lon\":100.283333,\"lat\":5.28333}"
1735076,"Butterworth","","MY","{\"lon\":100.363823,\"lat\":5.3991}"
1735077,"Perai","","MY","{\"lon\":100.383331,\"lat\":5.38333}"
1735079,"Bukit Mertajam","","MY","{\"lon\":100.466698,\"lat\":5.36301}"
1735086,"Nibong Tebal","","MY","{\"lon\":100.477928,\"lat\":5.16586}"
1735089,"Parit Buntar","","MY","{\"lon\":100.493156,\"lat\":5.12671}"
1735093,"Tasek Glugor","","MY","{\"lon\":100.498489,\"lat\":5.48032}"
1735105,"Kampung Sungai Nibung Besar","","MY","{\"lon\":100.300194,\"lat\":5.33529}"
1735106,"George Town","","MY","{\"lon\":100.335426,\"lat\":5.41123}"
1735133,"Kampung Bukit Tinggi, Bentong","","MY","{\"lon\":101.816673,\"lat\":3.35}"
1735148,"Serendah","","MY","{\"lon\":101.604103,\"lat\":3.3646}"
1735150,"Rawang","","MY","{\"lon\":101.576698,\"lat\":3.3213}"
1735155,"Kampung Subang","","MY","{\"lon\":101.533333,\"lat\":3.15}"
1735156,"Petaling","","MY","{\"lon\":101.583328,\"lat\":3.08333}"
1735158,"Petaling Jaya","","MY","{\"lon\":101.606712,\"lat\":3.10726}"
1735161,"Kuala Lumpur","","MY","{\"lon\":101.686531,\"lat\":3.1412}"
1735162,"Setapak","","MY","{\"lon\":101.699997,\"lat\":3.18333}"
1735195,"Sabak Bernam","","MY","{\"lon\":100.9879,\"lat\":3.7698}"
1735199,"Sungai Besar","","MY","{\"lon\":100.986702,\"lat\":3.6746}"
1735227,"Kuantan","","MY","{\"lon\":103.325996,\"lat\":3.8077}"
1735237,"Telok Baharu","","MY","{\"lon\":103.333328,\"lat\":3.8}"
1735262,"Tanah Rata","","MY","{\"lon\":101.370399,\"lat\":4.475}"
1735268,"Batu Gajah","","MY","{\"lon\":101.041069,\"lat\":4.46916}"
1735274,"Kampar","","MY","{\"lon\":101.150002,\"lat\":4.3}"
1735282,"Tapah Road","","MY","{\"lon\":101.199997,\"lat\":4.16667}"
1735287,"Bidur","","MY","{\"lon\":101.283333,\"lat\":4.11667}"
1735450,"Lumut","","MY","{\"lon\":100.629799,\"lat\":4.2323}"
1735453,"Sitiawan","","MY","{\"lon\":100.6996,\"lat\":4.2168}"
1735459,"Teluk Intan","","MY","{\"lon\":101.021301,\"lat\":4.0259}"
1735485,"Gurun","","MY","{\"lon\":100.473808,\"lat\":5.81717}"
1735498,"Sungai Petani","","MY","{\"lon\":100.487717,\"lat\":5.647}"
1735506,"Kepala Batas","","MY","{\"lon\":100.426498,\"lat\":5.51707}"
1735535,"Ketereh","","MY","{\"lon\":102.248169,\"lat\":5.95701}"
1735543,"Pulai Chondong","","MY","{\"lon\":102.231773,\"lat\":5.87133}"
1735553,"Tanah Merah","","MY","{\"lon\":102.150002,\"lat\":5.8}"
1735634,"Kuching","","MY","{\"lon\":110.333328,\"lat\":1.55}"
1735799,"Simanggang","","MY","{\"lon\":111.452782,\"lat\":1.24722}"
1735837,"Sarikei","","MY","{\"lon\":111.51667,\"lat\":2.11667}"
1735902,"Sibu","","MY","{\"lon\":111.816673,\"lat\":2.3}"
1736278,"Kangar","","MY","{\"lon\":100.198624,\"lat\":6.4414}"
1736292,"Kuala Perlis","","MY","{\"lon\":100.133331,\"lat\":6.4}"
1736302,"Jitra","","MY","{\"lon\":100.421669,\"lat\":6.26812}"
1736305,"Kuala Kedah","","MY","{\"lon\":100.300003,\"lat\":6.1}"
1736309,"Alor Setar","","MY","{\"lon\":100.360138,\"lat\":6.12104}"
1736356,"Tumpat","","MY","{\"lon\":102.170982,\"lat\":6.19776}"
1736372,"Pasir Mas","","MY","{\"lon\":102.13987,\"lat\":6.04934}"
1736376,"Kota Bharu","","MY","{\"lon\":102.238602,\"lat\":6.13328}"
1736405,"Jertih","","MY","{\"lon\":102.4897,\"lat\":5.7336}"
1736458,"Kudat","","MY","{\"lon\":116.847702,\"lat\":6.8837}"
1736660,"Kota Belud","","MY","{\"lon\":116.430496,\"lat\":6.351}"
1737185,"Kapit","","MY","{\"lon\":112.933327,\"lat\":2.01667}"
1737486,"Bintulu","","MY","{\"lon\":113.033333,\"lat\":3.16667}"
1737714,"Limbang","","MY","{\"lon\":115,\"lat\":4.75}"
1738050,"Miri","","MY","{\"lon\":114.008904,\"lat\":4.4148}"
1738294,"Ulu Tiram","","MY","{\"lon\":103.816673,\"lat\":1.6}"
1741550,"Tanjung Tokong","","MY","{\"lon\":100.307419,\"lat\":5.46061}"
1741562,"Tanjung Sepat","","MY","{\"lon\":101.562897,\"lat\":2.6579}"
1742350,"Kampung Tabanac","","MY","{\"lon\":118.313698,\"lat\":5.0357}"
1742667,"Sungai Pelek New Village","","MY","{\"lon\":101.699997,\"lat\":2.65}"
1748035,"Rumah Dana","","MY","{\"lon\":113.01667,\"lat\":3.11667}"
1748183,"Rumah Ampeng","","MY","{\"lon\":111.966667,\"lat\":2.26667}"
1748489,"Riam Road Bazaar","","MY","{\"lon\":114,\"lat\":4.33333}"
1749659,"Pulau Sebang","","MY","{\"lon\":102.232903,\"lat\":2.455}"
1749939,"Kampung Pokok Manggis","","MY","{\"lon\":100.218269,\"lat\":5.37052}"
1750500,"Permatang Kuching","","MY","{\"lon\":100.381439,\"lat\":5.46339}"
1750582,"Peringat","","MY","{\"lon\":102.283333,\"lat\":6.03333}"
1750974,"Ladang Seri Kundang","","MY","{\"lon\":101.518997,\"lat\":3.2856}"
1751525,"Pekan Darat","","MY","{\"lon\":100.396278,\"lat\":5.47251}"
1751906,"Pasir Penambang","","MY","{\"lon\":101.25,\"lat\":3.35}"
1752256,"Pantai Remis","","MY","{\"lon\":100.628799,\"lat\":4.4557}"
1759486,"Kuang","","MY","{\"lon\":101.5541,\"lat\":3.2594}"
1759513,"Kuala Sungai Baru","","MY","{\"lon\":102.035301,\"lat\":2.3594}"
1760605,"Kepong","","MY","{\"lon\":101.633331,\"lat\":3.21667}"
1761242,"Klebang Besar","","MY","{\"lon\":102.199501,\"lat\":2.2186}"
1761293,"Kelapa Sawit","","MY","{\"lon\":103.5327,\"lat\":1.6698}"
1762251,"Kampong Wakuba","","MY","{\"lon\":118.12175,\"lat\":4.2969}"
1762882,"Kampong Tengah","","MY","{\"lon\":111.466667,\"lat\":1.23333}"
1762985,"Kampong Telok Reba","","MY","{\"lon\":102.300003,\"lat\":6.16667}"
1763070,"Kampung Teluk Dalam","","MY","{\"lon\":100.554497,\"lat\":4.2482}"
1763164,"Kampung Telaga Batin","","MY","{\"lon\":103.105103,\"lat\":5.378}"
1763412,"Kampung Tanjung Karang","","MY","{\"lon\":101.184898,\"lat\":3.4242}"
1763774,"Kampong Sungai Tanah Liat","","MY","{\"lon\":100.683327,\"lat\":4.63333}"
1764027,"Kampung Sungai Glugur","","MY","{\"lon\":100.31353,\"lat\":5.36966}"
1764160,"Kampung Sungai Ara","","MY","{\"lon\":100.273483,\"lat\":5.32699}"
1764318,"Kampung Simpang Renggam","","MY","{\"lon\":103.300003,\"lat\":1.8278}"
1765067,"Kampung Rantau Panjang","","MY","{\"lon\":101.974503,\"lat\":6.016}"
1765223,"Kampung Pulau Samak","","MY","{\"lon\":102.254402,\"lat\":2.2623}"
1766249,"Kampong Pangkal Kalong","","MY","{\"lon\":102.216667,\"lat\":5.91667}"
1766699,"Kampung Naran","","MY","{\"lon\":100.278976,\"lat\":5.29102}"
1767021,"Kampong Masjid Tanah","","MY","{\"lon\":102.116669,\"lat\":2.35}"
1768129,"Kampung Kota Lama","","MY","{\"lon\":102.166397,\"lat\":2.5181}"
1768664,"Kampong Kadok","","MY","{\"lon\":102.25,\"lat\":6}"
1769157,"Kampong Gual Payong","","MY","{\"lon\":102.083328,\"lat\":5.95}"
1769612,"Kampong Dungun","","MY","{\"lon\":101.316673,\"lat\":3.21667}"
1770351,"Kampung Bukit Baharu","","MY","{\"lon\":102.285103,\"lat\":2.2152}"
1770847,"Kampong Batu Perak","","MY","{\"lon\":110.349998,\"lat\":1.46667}"
1770876,"Kampung Batu Lapan Tiga Suku","","MY","{\"lon\":103.216599,\"lat\":3.7708}"
1771023,"Kampung Baru Subang","","MY","{\"lon\":101.533333,\"lat\":3.15}"
1771287,"Kampung Baharu Nilai","","MY","{\"lon\":101.797203,\"lat\":2.8033}"
1771304,"Kampong Baharu Balakong","","MY","{\"lon\":101.75,\"lat\":3.03333}"
1771485,"Kampung Ayer Molek","","MY","{\"lon\":102.327797,\"lat\":2.2139}"
1772148,"Juru","","MY","{\"lon\":100.442291,\"lat\":5.31201}"
1778290,"Bukit Rambai","","MY","{\"lon\":102.1838,\"lat\":2.2594}"
1778677,"Brighton","","MY","{\"lon\":113.966667,\"lat\":4.38333}"
1779790,"Bentong Town","","MY","{\"lon\":101.900002,\"lat\":3.51667}"
1779926,"Bemban","","MY","{\"lon\":102.374603,\"lat\":2.2684}"
1780890,"Batu Berendam","","MY","{\"lon\":102.246002,\"lat\":2.2487}"
1782807,"Api Rokok","","MY","{\"lon\":103.433327,\"lat\":4.55}"
